MCH Institution Type,MCH Institution Type Name,File Type,Package,Field Name,Fields in Package,Field Description
62,Fire and Ambulance,Institution,Base,Parent Name,1 Field,The institution name of the immediate parent organization.
62,Fire and Ambulance,Institution,Base,Main Parent ID,1 Field,Institution PIN representing the highest valid PIN in the parent list. Defines the hierarchy for institutions.
62,Fire and Ambulance,Institution,Base,Main Parent Name,1 Field,The institution name representing the highest organization in the hierarchy.
62,Fire and Ambulance,Institution,General Properties,Ambulance Services Operated by Hospital,1 Field,Indicates that the ambulance service is affiliated with a specific hospital or hospital system.
62,Fire and Ambulance,Institution,General Properties,Type of Facility,6 Fields,Indicates the type of institution.
62,Fire and Ambulance,Institution,General Properties,Type of Institution,3 Fields,Indicates the type of institution.
62,Fire and Ambulance,Institution,Geo Codes,Geo Precision 1,1 Field,Indicates the level of accuracy of the geo code.
62,Fire and Ambulance,Institution,Geo Codes,Latitude,1 Field,"The distance running north or south of the earth's equator, expressed in degrees and minutes."
62,Fire and Ambulance,Institution,Geo Codes,Longitude,1 Field,"The distance east or west of the meridian at Greenwich, England, expressed in degrees and minutes."
62,Fire and Ambulance,Institution,Supplementary Features,Location,4 Fields,Indicates the location of the Ambulance Services.
62,Fire and Ambulance,Institution,Supplementary Features,Number of Responders,1 Field,The number of responders at a specific emergency service.
62,Fire and Ambulance,Institution,Supplementary Features,Number of Responders Code,1 Field,"Indicated number of responders at a specific emergency service, shown in range values."
62,Fire and Ambulance,Institution,Supplementary Features,Types of Services/Departments,5 Fields,Indicates the type of institution.
63,Child Care Centers,Institution,Base,Institution ID,1 Field,Institution Permanent Identification Number
63,Child Care Centers,Institution,Base,MCH Institution Type,1 Field,MCH Institution Type
63,Child Care Centers,Institution,Base,Institution Name,1 Field,The name of the institution.
63,Child Care Centers,Institution,Base,Mailing Address,1 Field,The mailing address of the institution.
63,Child Care Centers,Institution,Base,Mailing Address2,1 Field,Additional mailing address information to aid in delivery.
63,Child Care Centers,Institution,Base,Mailing City,1 Field,The mailing city of the institution.
63,Child Care Centers,Institution,Base,Mailing State,1 Field,The mailing state of the institution.
63,Child Care Centers,Institution,Base,Mailing Zip,1 Field,The mailing zip code of the institution.
63,Child Care Centers,Institution,Base,Mailing Zip4,1 Field,The mailing zip + 4 code of the institution.
63,Child Care Centers,Institution,Base,Mailing County FIPS,1 Field,The mailing county FIPS code of the institution.
63,Child Care Centers,Institution,Base,Mailing County,1 Field,The mailing county name of the institution.
63,Child Care Centers,Institution,Base,MSA,1 Field,The physical metropolitan statistical area code of the institution.
63,Child Care Centers,Institution,Base,CBSA,1 Field,The core based statistical area code of the institution.
63,Child Care Centers,Institution,Base,Phone Number,1 Field,The phone number of the institution.
63,Child Care Centers,Institution,Base,Physical Address,1 Field,The physical address of the institution.
63,Child Care Centers,Institution,Base,Physical Address 2,1 Field,Additional physical address information to aid in location identification.
63,Child Care Centers,Institution,Base,Physical City,1 Field,The physical city of the institution.
63,Child Care Centers,Institution,Base,Physical State,1 Field,The physical state of the institution.
63,Child Care Centers,Institution,Base,Physical Zip,1 Field,The physical zip code of the institution.
63,Child Care Centers,Institution,Base,Physical County FIPS,1 Field,The physical county FIPS code of the institution.
63,Child Care Centers,Institution,Base,Physical County,1 Field,The physical county name of the institution.
63,Child Care Centers,Institution,Base,Website URL,1 Field,URL for website related to the institution.
63,Child Care Centers,Institution,Base,NAICS Code-Primary,1 Field,The North American Industry Classification System code.
63,Child Care Centers,Institution,Base,SIC Code-Primary,1 Field,The Standard Industry Classification (SIC) code.
63,Child Care Centers,Institution,Base,Institution New-to-File Date,1 Field,The date the institution record was added to the MCH database. Institutions with a date of 1950 were added to the MCH system prior to using date stamps on the data.
63,Child Care Centers,Institution,Base,Local Population,1 Field,The population of the city or town.
63,Child Care Centers,Institution,Base,Population Score,1 Field,"A score from 1 to 10 of the population of the area, with 1 being the most populated and 10 being the least populated."
63,Child Care Centers,Institution,Base,Wealth Score,1 Field,Indicates the wealth score of the institution.
63,Child Care Centers,Institution,Base,Parent ID,1 Field,Immediate Parent PIN for the institution.
63,Child Care Centers,Institution,Base,Parent Name,1 Field,The institution name of the immediate parent organization.
63,Child Care Centers,Institution,Base,Main Parent ID,1 Field,Institution PIN representing the highest valid PIN in the parent list. Defines the hierarchy for institutions.
63,Child Care Centers,Institution,Base,Main Parent Name,1 Field,The institution name representing the highest organization in the hierarchy.
63,Child Care Centers,Institution,Ethnicity,Neighborhood Ethnicity - African American,1 Field,Indicates the percentage of neighborhood residents who self-identify as African American according to the US Census.
63,Child Care Centers,Institution,Ethnicity,Neighborhood Ethnicity - Asian,1 Field,Indicates the percentage of neighborhood residents who self-identify as Asian according to the US Census.
63,Child Care Centers,Institution,Ethnicity,Neighborhood Ethnicity - Caucasian,1 Field,Indicates the percentage of neighborhood residents who self-identify as White or Caucasian according to the US Census.
63,Child Care Centers,Institution,Ethnicity,Neighborhood Ethnicity - Hispanic,1 Field,Indicates the percentage of neighborhood residents who self-identify as Hispanic according to the US Census.
63,Child Care Centers,Institution,Ethnicity,Neighborhood Ethnicity - Multi Ethnic,1 Field,Indicates the percentage of neighborhood residents who self-identify as belonging to two or more ethnic groups according to the US Census.
63,Child Care Centers,Institution,Ethnicity,Neighborhood Ethnicity - Native American,1 Field,Indicates the percentage of neighborhood residents who self-identify as Native American according to the US Census.
63,Child Care Centers,Institution,Ethnicity,Neighborhood Ethnicity - Other,1 Field,Indicates the percentage of neighborhood residents who self-identify as belonging to an ethnic group other than those indicated in related attributes according to the US Census.
63,Child Care Centers,Institution,Ethnicity,Neighborhood Ethnicity - Pacific Islander,1 Field,Indicates the percentage of neighborhood residents who self-identify as Pacific Islander according to the US Census.
63,Child Care Centers,Institution,General Properties,Corporate Owner Linkage,1 Field,References the institution pin of the Corporate Owner.
63,Child Care Centers,Institution,General Properties,Kindergarten Classes,1 Field,Indicates that a Kindergarten class is available for the institution.
63,Child Care Centers,Institution,General Properties,Program Offered,1 Field,Indicates the type of institution.
63,Child Care Centers,Institution,General Properties,Religious Affiliation,1 Field,Indicates the religious affiliation of the institution.
63,Child Care Centers,Institution,Geo Codes,Geo Precision 1,1 Field,Indicates the level of accuracy of the geo code.
63,Child Care Centers,Institution,Geo Codes,Latitude,1 Field,"The distance running north or south of the earth's equator, expressed in degrees and minutes."
63,Child Care Centers,Institution,Geo Codes,Longitude,1 Field,"The distance east or west of the meridian at Greenwich, England, expressed in degrees and minutes."
63,Child Care Centers,Institution,Supplementary Features,Child Care Center Age Range,9 Fields,A code-based attribute representing the Child Care Center Ages Served numeric attribute in ranges.
63,Child Care Centers,Institution,Supplementary Features,Child Care Center Ages Served,1 Field,A numeric range indicating the lowest age and highest age of children for which the institution typically provides child care or preschool services.
63,Child Care Centers,Institution,Supplementary Features,Child Care Center Existence of Age Served,63 Fields,A code-base value indicating that the institution typically provides child care or preschool programs for children of a specifc age.
63,Child Care Centers,Institution,Supplementary Features,Child Care Center Funding,6 Fields,Indicates that the center receives at least partial funding from a particular source.
63,Child Care Centers,Institution,Supplementary Features,Child Care Center Locations,45 Fields,Indicates the location of the institution.
63,Child Care Centers,Institution,Supplementary Features,Child Care Center Schedule,1 Field,Indicates the period of the year during which the program operates.
63,Child Care Centers,Institution,Supplementary Features,Child Care Center Services Offered,12 Fields,"Services or programs provided by the center, regardless of the center's specialty. See Child Care Center Specialty for additional options."
63,Child Care Centers,Institution,Supplementary Features,Child Care Center Specialty,21 Fields,The type of specialization for centers that are focused on providing a specific service.
63,Child Care Centers,Institution,Supplementary Features,Child Care Center Type of Institution,39 Fields,Identifies the type of Institution
63,Child Care Centers,Institution,Supplementary Features,Child Care Chains,1 Field,A Child Care Center owned by a private company with two or more facilities. MCH creates new Child Care Chain values only for chains with 40 or more centers.
63,Child Care Centers,Institution,Supplementary Features,Early Childhood Enrollment,1 Field,A numeric value indicating the center's capacity for enrollment in childcare and/or preschool programs.
63,Child Care Centers,Institution,Supplementary Features,Early Childhood Enrollment Range Code,1 Field,A code-based value that represents the numeric values of Early Childhood Enrollment in broad increments.
63,Child Care Centers,Institution,Supplementary Features,Number of Centers,1 Field,The number of centers affiliated with this central or regional office.
63,Child Care Centers,Institution,Supplementary Features,Number of Centers Code,1 Field,A code-based attribute representing the numerica attribute Number of Centers in ranges.
63,Child Care Centers,Institution,Supplementary Features,Organizational Affiliation,9 Fields,Indicates that the center is affiliated with a particular organization.
63,Child Care Centers,Institution & Personnel,Base,Institution ID,1 Field,Institution Permanent Identification Number
63,Child Care Centers,Institution & Personnel,Base,MCH Institution Type,1 Field,MCH Institution Type
63,Child Care Centers,Institution & Personnel,Base,Institution Name,1 Field,The name of the institution.
63,Child Care Centers,Institution & Personnel,Base,Person ID,1 Field,Personal Name Permanent ID number
63,Child Care Centers,Institution & Personnel,Base,FullName,1 Field,Personalization Name
63,Child Care Centers,Institution & Personnel,Base,Job Functions,10 Fields,A routine set of job responsibilities.
63,Child Care Centers,Institution & Personnel,Base,Mailing Address,1 Field,The mailing address of the institution.
63,Child Care Centers,Institution & Personnel,Base,Mailing Address2,1 Field,Additional mailing address information to aid in delivery.
63,Child Care Centers,Institution & Personnel,Base,Mailing City,1 Field,The mailing city of the institution.
63,Child Care Centers,Institution & Personnel,Base,Mailing State,1 Field,The mailing state of the institution.
63,Child Care Centers,Institution & Personnel,Base,Mailing Zip,1 Field,The mailing zip code of the institution.
63,Child Care Centers,Institution & Personnel,Base,Mailing Zip4,1 Field,The mailing zip + 4 code of the institution.
63,Child Care Centers,Institution & Personnel,Base,Mailing County FIPS,1 Field,The mailing county FIPS code of the institution.
63,Child Care Centers,Institution & Personnel,Base,Mailing County,1 Field,The mailing county name of the institution.
63,Child Care Centers,Institution & Personnel,Base,MSA,1 Field,The physical metropolitan statistical area code of the institution.
63,Child Care Centers,Institution & Personnel,Base,CBSA,1 Field,The core based statistical area code of the institution.
63,Child Care Centers,Institution & Personnel,Base,Phone Number,1 Field,The phone number of the institution.
63,Child Care Centers,Institution & Personnel,Base,Physical Address,1 Field,The physical address of the institution.
63,Child Care Centers,Institution & Personnel,Base,Physical Address 2,1 Field,Additional physical address information to aid in location identification.
63,Child Care Centers,Institution & Personnel,Base,Physical City,1 Field,The physical city of the institution.
63,Child Care Centers,Institution & Personnel,Base,Physical State,1 Field,The physical state of the institution.
63,Child Care Centers,Institution & Personnel,Base,Physical Zip,1 Field,The physical zip code of the institution.
63,Child Care Centers,Institution & Personnel,Base,Physical Zip4,1 Field,The physical zip + 4 code of the institution.
63,Child Care Centers,Institution & Personnel,Base,Physical County FIPS,1 Field,The physical county FIPS code of the institution.
63,Child Care Centers,Institution & Personnel,Base,Physical County,1 Field,The physical county name of the institution.
63,Child Care Centers,Institution & Personnel,Base,Website URL,1 Field,URL for website related to the institution.
63,Child Care Centers,Institution & Personnel,Base,Prefix,1 Field,The pre-title for the person.
63,Child Care Centers,Institution & Personnel,Base,FirstName,1 Field,The first name of the person.
63,Child Care Centers,Institution & Personnel,Base,MiddleName,1 Field,The middle name of the person.
63,Child Care Centers,Institution & Personnel,Base,LastName,1 Field,The last name of the person.
63,Child Care Centers,Institution & Personnel,Base,Suffix,1 Field,The suffix for the person.
63,Child Care Centers,Institution & Personnel,Base,Institution New-to-File Date,1 Field,The date the institution record was added to the MCH database. Institutions with a date of 1950 were added to the MCH system prior to using date stamps on the data.
63,Child Care Centers,Institution & Personnel,Base,Person New-to-File Date,1 Field,The date the person record was added to the MCH database.
63,Child Care Centers,Institution & Personnel,Base,Local Population,1 Field,The population of the city or town.
63,Child Care Centers,Institution & Personnel,Base,Population Score,1 Field,"A score from 1 to 10 of the population of the area, with 1 being the most populated and 10 being the least populated."
63,Child Care Centers,Institution & Personnel,Base,Wealth Score,1 Field,Indicates the wealth score of the institution.
63,Child Care Centers,Institution & Personnel,Base,Parent ID,1 Field,Immediate Parent PIN for the institution.
63,Child Care Centers,Institution & Personnel,Base,Parent Name,1 Field,The institution name of the immediate parent organization.
63,Child Care Centers,Institution & Personnel,Base,Main Parent ID,1 Field,Institution PIN representing the highest valid PIN in the parent list. Defines the hierarchy for institutions.
63,Child Care Centers,Institution & Personnel,Base,Main Parent Name,1 Field,The institution name representing the highest organization in the hierarchy.
63,Child Care Centers,Institution & Personnel,Base,Email Available,1 Field,Indicates if contact person has an email address.
63,Child Care Centers,Institution & Personnel,Base,NAICS Code-Primary,1 Field,The North American Industry Classification System code.
63,Child Care Centers,Institution & Personnel,Base,SIC Code-Primary,1 Field,The Standard Industry Classification (SIC) code.
63,Child Care Centers,Institution & Personnel,Email Append,Email Address,1 Field,The email address for the person.
63,Child Care Centers,Institution & Personnel,Ethnicity,Neighborhood Ethnicity - African American,1 Field,Indicates the percentage of neighborhood residents who self-identify as African American according to the US Census.
63,Child Care Centers,Institution & Personnel,Ethnicity,Neighborhood Ethnicity - Asian,1 Field,Indicates the percentage of neighborhood residents who self-identify as Asian according to the US Census.
63,Child Care Centers,Institution & Personnel,Ethnicity,Neighborhood Ethnicity - Caucasian,1 Field,Indicates the percentage of neighborhood residents who self-identify as White or Caucasian according to the US Census.
63,Child Care Centers,Institution & Personnel,Ethnicity,Neighborhood Ethnicity - Hispanic,1 Field,Indicates the percentage of neighborhood residents who self-identify as Hispanic according to the US Census.
63,Child Care Centers,Institution & Personnel,Ethnicity,Neighborhood Ethnicity - Multi Ethnic,1 Field,Indicates the percentage of neighborhood residents who self-identify as belonging to two or more ethnic groups according to the US Census.
63,Child Care Centers,Institution & Personnel,Ethnicity,Neighborhood Ethnicity - Native American,1 Field,Indicates the percentage of neighborhood residents who self-identify as Native American according to the US Census.
63,Child Care Centers,Institution & Personnel,Ethnicity,Neighborhood Ethnicity - Other,1 Field,Indicates the percentage of neighborhood residents who self-identify as belonging to an ethnic group other than those indicated in related attributes according to the US Census.
63,Child Care Centers,Institution & Personnel,Ethnicity,Neighborhood Ethnicity - Pacific Islander,1 Field,Indicates the percentage of neighborhood residents who self-identify as Pacific Islander according to the US Census.
63,Child Care Centers,Institution & Personnel,General Properties,Corporate Owner Linkage,1 Field,References the institution pin of the Corporate Owner.
63,Child Care Centers,Institution & Personnel,General Properties,Kindergarten Classes,1 Field,Indicates that a Kindergarten class is available for the institution.
63,Child Care Centers,Institution & Personnel,General Properties,Program Offered,1 Field,Indicates the type of institution.
63,Child Care Centers,Institution & Personnel,General Properties,Religious Affiliation,1 Field,Indicates the religious affiliation of the institution.
63,Child Care Centers,Institution & Personnel,Geo Codes,Geo Precision 1,1 Field,Indicates the level of accuracy of the geo code.
63,Child Care Centers,Institution & Personnel,Geo Codes,Latitude,1 Field,"The distance running north or south of the earth's equator, expressed in degrees and minutes."
63,Child Care Centers,Institution & Personnel,Geo Codes,Longitude,1 Field,"The distance east or west of the meridian at Greenwich, England, expressed in degrees and minutes."
63,Child Care Centers,Institution & Personnel,Supplementary Features,Child Care Center Age Range,9 Fields,A code-based attribute representing the Child Care Center Ages Served numeric attribute in ranges.
63,Child Care Centers,Institution & Personnel,Supplementary Features,Child Care Center Ages Served,1 Field,A numeric range indicating the lowest age and highest age of children for which the institution typically provides child care or preschool services.
63,Child Care Centers,Institution & Personnel,Supplementary Features,Child Care Center Existence of Age Served,63 Fields,A code-base value indicating that the institution typically provides child care or preschool programs for children of a specifc age.
63,Child Care Centers,Institution & Personnel,Supplementary Features,Child Care Center Funding,6 Fields,Indicates that the center receives at least partial funding from a particular source.
63,Child Care Centers,Institution & Personnel,Supplementary Features,Child Care Center Locations,45 Fields,Indicates the location of the institution.
63,Child Care Centers,Institution & Personnel,Supplementary Features,Child Care Center Schedule,1 Field,Indicates the period of the year during which the program operates.
63,Child Care Centers,Institution & Personnel,Supplementary Features,Child Care Center Services Offered,12 Fields,"Services or programs provided by the center, regardless of the center's specialty. See Child Care Center Specialty for additional options."
63,Child Care Centers,Institution & Personnel,Supplementary Features,Child Care Center Specialty,21 Fields,The type of specialization for centers that are focused on providing a specific service.
63,Child Care Centers,Institution & Personnel,Supplementary Features,Child Care Center Type of Institution,39 Fields,Identifies the type of Institution
63,Child Care Centers,Institution & Personnel,Supplementary Features,Child Care Chains,1 Field,A Child Care Center owned by a private company with two or more facilities. MCH creates new Child Care Chain values only for chains with 40 or more centers.
63,Child Care Centers,Institution & Personnel,Supplementary Features,Early Childhood Enrollment,1 Field,A numeric value indicating the center's capacity for enrollment in childcare and/or preschool programs.
63,Child Care Centers,Institution & Personnel,Supplementary Features,Early Childhood Enrollment Range Code,1 Field,A code-based value that represents the numeric values of Early Childhood Enrollment in broad increments.
63,Child Care Centers,Institution & Personnel,Supplementary Features,Number of Centers,1 Field,The number of centers affiliated with this central or regional office.
63,Child Care Centers,Institution & Personnel,Supplementary Features,Number of Centers Code,1 Field,A code-based attribute representing the numerica attribute Number of Centers in ranges.
63,Child Care Centers,Institution & Personnel,Supplementary Features,Organizational Affiliation,9 Fields,Indicates that the center is affiliated with a particular organization.
63,Child Care Centers,Institution & Personnel with Email,Base,Institution ID,1 Field,Institution Permanent Identification Number
63,Child Care Centers,Institution & Personnel with Email,Base,MCH Institution Type,1 Field,MCH Institution Type
63,Child Care Centers,Institution & Personnel with Email,Base,Institution Name,1 Field,The name of the institution.
63,Child Care Centers,Institution & Personnel with Email,Base,Person ID,1 Field,Personal Name Permanent ID number
63,Child Care Centers,Institution & Personnel with Email,Base,FullName,1 Field,Personalization Name
63,Child Care Centers,Institution & Personnel with Email,Base,Email Address,1 Field,The email address for the person.
63,Child Care Centers,Institution & Personnel with Email,Base,Job Functions,10 Fields,A routine set of job responsibilities.
63,Child Care Centers,Institution & Personnel with Email,Base,Mailing Address,1 Field,The mailing address of the institution.
63,Child Care Centers,Institution & Personnel with Email,Base,Mailing Address2,1 Field,Additional mailing address information to aid in delivery.
63,Child Care Centers,Institution & Personnel with Email,Base,Mailing City,1 Field,The mailing city of the institution.
63,Child Care Centers,Institution & Personnel with Email,Base,Mailing State,1 Field,The mailing state of the institution.
63,Child Care Centers,Institution & Personnel with Email,Base,Mailing Zip,1 Field,The mailing zip code of the institution.
63,Child Care Centers,Institution & Personnel with Email,Base,Mailing Zip4,1 Field,The mailing zip + 4 code of the institution.
63,Child Care Centers,Institution & Personnel with Email,Base,Mailing County FIPS,1 Field,The mailing county FIPS code of the institution.
63,Child Care Centers,Institution & Personnel with Email,Base,Mailing County,1 Field,The mailing county name of the institution.
63,Child Care Centers,Institution & Personnel with Email,Base,MSA,1 Field,The physical metropolitan statistical area code of the institution.
63,Child Care Centers,Institution & Personnel with Email,Base,CBSA,1 Field,The core based statistical area code of the institution.
63,Child Care Centers,Institution & Personnel with Email,Base,Phone Number,1 Field,The phone number of the institution.
63,Child Care Centers,Institution & Personnel with Email,Base,Physical Address,1 Field,The physical address of the institution.
63,Child Care Centers,Institution & Personnel with Email,Base,Physical Address 2,1 Field,Additional physical address information to aid in location identification.
63,Child Care Centers,Institution & Personnel with Email,Base,Physical City,1 Field,The physical city of the institution.
63,Child Care Centers,Institution & Personnel with Email,Base,Physical State,1 Field,The physical state of the institution.
63,Child Care Centers,Institution & Personnel with Email,Base,Physical Zip,1 Field,The physical zip code of the institution.
63,Child Care Centers,Institution & Personnel with Email,Base,Physical Zip4,1 Field,The physical zip + 4 code of the institution.
63,Child Care Centers,Institution & Personnel with Email,Base,Physical County FIPS,1 Field,The physical county FIPS code of the institution.
63,Child Care Centers,Institution & Personnel with Email,Base,Physical County,1 Field,The physical county name of the institution.
63,Child Care Centers,Institution & Personnel with Email,Base,Website URL,1 Field,URL for website related to the institution.
63,Child Care Centers,Institution & Personnel with Email,Base,Prefix,1 Field,The pre-title for the person.
63,Child Care Centers,Institution & Personnel with Email,Base,FirstName,1 Field,The first name of the person.
63,Child Care Centers,Institution & Personnel with Email,Base,MiddleName,1 Field,The middle name of the person.
63,Child Care Centers,Institution & Personnel with Email,Base,LastName,1 Field,The last name of the person.
63,Child Care Centers,Institution & Personnel with Email,Base,Suffix,1 Field,The suffix for the person.
63,Child Care Centers,Institution & Personnel with Email,Base,Institution New-to-File Date,1 Field,The date the institution record was added to the MCH database. Institutions with a date of 1950 were added to the MCH system prior to using date stamps on the data.
63,Child Care Centers,Institution & Personnel with Email,Base,Person New-to-File Date,1 Field,The date the person record was added to the MCH database.
63,Child Care Centers,Institution & Personnel with Email,Base,Local Population,1 Field,The population of the city or town.
63,Child Care Centers,Institution & Personnel with Email,Base,Population Score,1 Field,"A score from 1 to 10 of the population of the area, with 1 being the most populated and 10 being the least populated."
63,Child Care Centers,Institution & Personnel with Email,Base,Wealth Score,1 Field,Indicates the wealth score of the institution.
63,Child Care Centers,Institution & Personnel with Email,Base,Parent ID,1 Field,Immediate Parent PIN for the institution.
63,Child Care Centers,Institution & Personnel with Email,Base,Parent Name,1 Field,The institution name of the immediate parent organization.
63,Child Care Centers,Institution & Personnel with Email,Base,Main Parent ID,1 Field,Institution PIN representing the highest valid PIN in the parent list. Defines the hierarchy for institutions.
63,Child Care Centers,Institution & Personnel with Email,Base,Main Parent Name,1 Field,The institution name representing the highest organization in the hierarchy.
63,Child Care Centers,Institution & Personnel with Email,Base,NAICS Code-Primary,1 Field,The North American Industry Classification System code.
63,Child Care Centers,Institution & Personnel with Email,Base,SIC Code-Primary,1 Field,The Standard Industry Classification (SIC) code.
63,Child Care Centers,Institution & Personnel with Email,Ethnicity,Neighborhood Ethnicity - African American,1 Field,Indicates the percentage of neighborhood residents who self-identify as African American according to the US Census.
63,Child Care Centers,Institution & Personnel with Email,Ethnicity,Neighborhood Ethnicity - Asian,1 Field,Indicates the percentage of neighborhood residents who self-identify as Asian according to the US Census.
63,Child Care Centers,Institution & Personnel with Email,Ethnicity,Neighborhood Ethnicity - Caucasian,1 Field,Indicates the percentage of neighborhood residents who self-identify as White or Caucasian according to the US Census.
63,Child Care Centers,Institution & Personnel with Email,Ethnicity,Neighborhood Ethnicity - Hispanic,1 Field,Indicates the percentage of neighborhood residents who self-identify as Hispanic according to the US Census.
63,Child Care Centers,Institution & Personnel with Email,Ethnicity,Neighborhood Ethnicity - Multi Ethnic,1 Field,Indicates the percentage of neighborhood residents who self-identify as belonging to two or more ethnic groups according to the US Census.
63,Child Care Centers,Institution & Personnel with Email,Ethnicity,Neighborhood Ethnicity - Native American,1 Field,Indicates the percentage of neighborhood residents who self-identify as Native American according to the US Census.
63,Child Care Centers,Institution & Personnel with Email,Ethnicity,Neighborhood Ethnicity - Other,1 Field,Indicates the percentage of neighborhood residents who self-identify as belonging to an ethnic group other than those indicated in related attributes according to the US Census.
63,Child Care Centers,Institution & Personnel with Email,Ethnicity,Neighborhood Ethnicity - Pacific Islander,1 Field,Indicates the percentage of neighborhood residents who self-identify as Pacific Islander according to the US Census.
63,Child Care Centers,Institution & Personnel with Email,General Properties,Corporate Owner Linkage,1 Field,References the institution pin of the Corporate Owner.
63,Child Care Centers,Institution & Personnel with Email,General Properties,Kindergarten Classes,1 Field,Indicates that a Kindergarten class is available for the institution.
63,Child Care Centers,Institution & Personnel with Email,General Properties,Program Offered,1 Field,Indicates the type of institution.
63,Child Care Centers,Institution & Personnel with Email,General Properties,Religious Affiliation,1 Field,Indicates the religious affiliation of the institution.
63,Child Care Centers,Institution & Personnel with Email,Geo Codes,Geo Precision 1,1 Field,Indicates the level of accuracy of the geo code.
63,Child Care Centers,Institution & Personnel with Email,Geo Codes,Latitude,1 Field,"The distance running north or south of the earth's equator, expressed in degrees and minutes."
63,Child Care Centers,Institution & Personnel with Email,Geo Codes,Longitude,1 Field,"The distance east or west of the meridian at Greenwich, England, expressed in degrees and minutes."
63,Child Care Centers,Institution & Personnel with Email,Supplementary Features,Child Care Center Age Range,9 Fields,A code-based attribute representing the Child Care Center Ages Served numeric attribute in ranges.
63,Child Care Centers,Institution & Personnel with Email,Supplementary Features,Child Care Center Ages Served,1 Field,A numeric range indicating the lowest age and highest age of children for which the institution typically provides child care or preschool services.
63,Child Care Centers,Institution & Personnel with Email,Supplementary Features,Child Care Center Existence of Age Served,63 Fields,A code-base value indicating that the institution typically provides child care or preschool programs for children of a specifc age.
63,Child Care Centers,Institution & Personnel with Email,Supplementary Features,Child Care Center Funding,6 Fields,Indicates that the center receives at least partial funding from a particular source.
63,Child Care Centers,Institution & Personnel with Email,Supplementary Features,Child Care Center Locations,45 Fields,Indicates the location of the institution.
63,Child Care Centers,Institution & Personnel with Email,Supplementary Features,Child Care Center Schedule,1 Field,Indicates the period of the year during which the program operates.
63,Child Care Centers,Institution & Personnel with Email,Supplementary Features,Child Care Center Services Offered,12 Fields,"Services or programs provided by the center, regardless of the center's specialty. See Child Care Center Specialty for additional options."
63,Child Care Centers,Institution & Personnel with Email,Supplementary Features,Child Care Center Specialty,21 Fields,The type of specialization for centers that are focused on providing a specific service.
63,Child Care Centers,Institution & Personnel with Email,Supplementary Features,Child Care Center Type of Institution,39 Fields,Identifies the type of Institution
63,Child Care Centers,Institution & Personnel with Email,Supplementary Features,Child Care Chains,1 Field,A Child Care Center owned by a private company with two or more facilities. MCH creates new Child Care Chain values only for chains with 40 or more centers.
