MCH Institution Type,MCH Institution Type Name,Attribute Level,Attribute Type,Attribute Code,Filterable,Attribute Type Description,Attribute Code Description
62,Fire and Ambulance,Institution,Number of Responders Code,A - Very Large (51+),No,"Indicated number of responders at a specific emergency service, shown in range values.",A facility with 51 or more responders.
62,Fire and Ambulance,Institution,Number of Responders Code,B - Large (31-50),No,"Indicated number of responders at a specific emergency service, shown in range values.",A facility with 31 to 50 responders.
62,Fire and Ambulance,Institution,Number of Responders Code,C - Medium (21-30),No,"Indicated number of responders at a specific emergency service, shown in range values.",A facility with 21 to 30 responders.
62,Fire and Ambulance,Institution,Number of Responders Code,D - Small (16-20),No,"Indicated number of responders at a specific emergency service, shown in range values.",A facility with 16 to 30 responders.
62,Fire and Ambulance,Institution,Number of Responders Code,E - Very Small (0-15),No,"Indicated number of responders at a specific emergency service, shown in range values.",A facility with 0 to 15 responders. Facilities with no responders are primarily administrative in nature.
62,Fire and Ambulance,Institution,Number of Responders Code,U - Unknown,No,"Indicated number of responders at a specific emergency service, shown in range values.",A facility with an unknown number of responders.
62,Fire and Ambulance,Institution,Population Score,"1 - Average population 66,877",Yes,"A score from 1 to 10 that indicates the average population size of the area. A score of 1 indicates the highest populated area, while 10 is the lowest. Information is based on the physical location of the area.","Based on Zip Code Tabulation Areas, this represents areas with an average population size of 66,877."
62,Fire and Ambulance,Institution,Population Score,"10 - Average population 1,506",Yes,"A score from 1 to 10 that indicates the average population size of the area. A score of 1 indicates the highest populated area, while 10 is the lowest. Information is based on the physical location of the area.","Based on Zip Code Tabulation Areas, this represents areas with an average population size of 1,506."
62,Fire and Ambulance,Institution,Population Score,"2 - Average population 49,048",Yes,"A score from 1 to 10 that indicates the average population size of the area. A score of 1 indicates the highest populated area, while 10 is the lowest. Information is based on the physical location of the area.","Based on Zip Code Tabulation Areas, this represents areas with an average population size of 49,048."
62,Fire and Ambulance,Institution,Population Score,"3 - Average population 40,572",Yes,"A score from 1 to 10 that indicates the average population size of the area. A score of 1 indicates the highest populated area, while 10 is the lowest. Information is based on the physical location of the area.","Based on Zip Code Tabulation Areas, this represents areas with an average population size of 40,572."
62,Fire and Ambulance,Institution,Population Score,"4 - Average population 34,444",Yes,"A score from 1 to 10 that indicates the average population size of the area. A score of 1 indicates the highest populated area, while 10 is the lowest. Information is based on the physical location of the area.","Based on Zip Code Tabulation Areas, this represents areas with an average population size of 34,444."
62,Fire and Ambulance,Institution,Population Score,"5 - Average population 29,408",Yes,"A score from 1 to 10 that indicates the average population size of the area. A score of 1 indicates the highest populated area, while 10 is the lowest. Information is based on the physical location of the area.","Based on Zip Code Tabulation Areas, this represents areas with an average population size of 29,408."
62,Fire and Ambulance,Institution,Population Score,"6 - Average population 24,813",Yes,"A score from 1 to 10 that indicates the average population size of the area. A score of 1 indicates the highest populated area, while 10 is the lowest. Information is based on the physical location of the area.","Based on Zip Code Tabulation Areas, this represents areas with an average population size of 24,813."
62,Fire and Ambulance,Institution,Population Score,"7 - Average population 19,715",Yes,"A score from 1 to 10 that indicates the average population size of the area. A score of 1 indicates the highest populated area, while 10 is the lowest. Information is based on the physical location of the area.","Based on Zip Code Tabulation Areas, this represents areas with an average population size of 19,715."
62,Fire and Ambulance,Institution,Population Score,"8 - Average population 14,254",Yes,"A score from 1 to 10 that indicates the average population size of the area. A score of 1 indicates the highest populated area, while 10 is the lowest. Information is based on the physical location of the area.","Based on Zip Code Tabulation Areas, this represents areas with an average population size of 14,254."
62,Fire and Ambulance,Institution,Population Score,"9 - Average population 8,098",Yes,"A score from 1 to 10 that indicates the average population size of the area. A score of 1 indicates the highest populated area, while 10 is the lowest. Information is based on the physical location of the area.","Based on Zip Code Tabulation Areas, this represents areas with an average population size of 8,098."
62,Fire and Ambulance,Institution,SIC Code-Primary,"Ambulance service, road",No,The Standard Industry Classification (SIC) code.,"Furnishing miscellaneous passenger transportation, where such operations are principally within a municipality, contiguous municipalities, or a municipality and its suburban areas."
62,Fire and Ambulance,Institution,SIC Code-Primary,"Ambulance services, air",No,The Standard Industry Classification (SIC) code.,Furnishing nonscheduled air transportation.
62,Fire and Ambulance,Institution,SIC Code-Primary,Fire Protection,No,The Standard Industry Classification (SIC) code.,Government establishments primarily engaged in firefighting and other related fire protection activities.
62,Fire and Ambulance,Institution,Type of Facility,Administrative Office,Yes,Indicates the type of institution.,The business office for an Ambulance Service.
62,Fire and Ambulance,Institution,Type of Facility,Ambulance Main Office,Yes,Indicates the type of institution.,The primary location of an Ambulance Service.
62,Fire and Ambulance,Institution,Type of Facility,Ambulance Sub-Station,Yes,Indicates the type of institution.,A branch location of an Ambulance Service.
62,Fire and Ambulance,Institution,Type of Facility,Fire Department Main Station,Yes,Indicates the type of institution.,The primary location of a fire department that houses the central functions.
62,Fire and Ambulance,Institution,Type of Facility,Fire Department Sub-Station,Yes,Indicates the type of institution.,A branch location of a fire department.
62,Fire and Ambulance,Institution,Type of Facility,Unknown,Yes,Indicates the type of institution.,The type of facility is not known.
62,Fire and Ambulance,Institution,Type of Institution,Ambulance Service,Yes,Indicates the type of institution.,Facilities that provide emergency or scheduled ambulance transportation and related emergency medical services.
62,Fire and Ambulance,Institution,Type of Institution,Fire Department,Yes,Indicates the type of institution.,Facilities that provide firefighting and related emergency services.
62,Fire and Ambulance,Institution,Type of Institution,Other Emergency Response,Yes,Indicates the type of institution.,"Facilities that provide EMS, Rescue, or First Responder Services"
62,Fire and Ambulance,Institution,Types of Services/Departments,Air Ambulances,Yes,Indicates the type of institution.,An Ambulance Service that transports wounded patients by aircraft.
62,Fire and Ambulance,Institution,Types of Services/Departments,Combination Fire Depts,Yes,Indicates the type of institution.,A Fire Department that has both paid personnel and volunteers on staff.
62,Fire and Ambulance,Institution,Types of Services/Departments,EMS,Yes,Indicates the type of institution.,An Ambulance Service that employs Emergency Medical Services staff.
62,Fire and Ambulance,Institution,Types of Services/Departments,Paid Fire Depts,Yes,Indicates the type of institution.,A Fire Department staffed by paid personnel.
62,Fire and Ambulance,Institution,Types of Services/Departments,Volunteer Fire Depts,Yes,Indicates the type of institution.,A Fire Department staffed by volunteers.
62,Fire and Ambulance,Institution,Wealth Score,"1 - $84,876 or more",Yes,A score from 1 to 10 that indicates the median household income level of the area. A score of 1 indicates the highest wealth while 10 is the lowest.,"Indicates the median household income is $84,876 or more."
62,Fire and Ambulance,Institution,Wealth Score,"10 - $32,187 or less",Yes,A score from 1 to 10 that indicates the median household income level of the area. A score of 1 indicates the highest wealth while 10 is the lowest.,"Indicates the median household income is $32,187 or less."
62,Fire and Ambulance,Institution,Wealth Score,"2 - $70,265 - $84,875",Yes,A score from 1 to 10 that indicates the median household income level of the area. A score of 1 indicates the highest wealth while 10 is the lowest.,"Indicates the median household income is between $70,265 - $84,875."
62,Fire and Ambulance,Institution,Wealth Score,"3 - $60,959 - $70,264",Yes,A score from 1 to 10 that indicates the median household income level of the area. A score of 1 indicates the highest wealth while 10 is the lowest.,"Indicates the median household income is between $60,959 - $70,264."
62,Fire and Ambulance,Institution,Wealth Score,"4 - $54,521 - $60,958",Yes,A score from 1 to 10 that indicates the median household income level of the area. A score of 1 indicates the highest wealth while 10 is the lowest.,"Indicates the median household income is between $54,521 - $60,958."
62,Fire and Ambulance,Institution,Wealth Score,"5 - $49,504 - $54,520",Yes,A score from 1 to 10 that indicates the median household income level of the area. A score of 1 indicates the highest wealth while 10 is the lowest.,"Indicates the median household income is between $49,504 - $54,520."
62,Fire and Ambulance,Institution,Wealth Score,"6 - $45,190 - $49,503",Yes,A score from 1 to 10 that indicates the median household income level of the area. A score of 1 indicates the highest wealth while 10 is the lowest.,"Indicates the median household income is between $45,190 - $49,503."
62,Fire and Ambulance,Institution,Wealth Score,"7 - $41,585 - $45,189",Yes,A score from 1 to 10 that indicates the median household income level of the area. A score of 1 indicates the highest wealth while 10 is the lowest.,"Indicates the median household income is between $41,585 - $45,189."
62,Fire and Ambulance,Institution,Wealth Score,"8 - $37,435 - $41,584",Yes,A score from 1 to 10 that indicates the median household income level of the area. A score of 1 indicates the highest wealth while 10 is the lowest.,"Indicates the median household income is between $37,435 - $41,584."
62,Fire and Ambulance,Institution,Wealth Score,"9 - $32,188 - $37,434",Yes,A score from 1 to 10 that indicates the median household income level of the area. A score of 1 indicates the highest wealth while 10 is the lowest.,"Indicates the median household income is between $32,188 - $37,434."
63,Child Care Centers,Institution,CBSA Code,CBSA Code,No,The core based statistical area code of the institution.,The core based statistical area code of the institution.
63,Child Care Centers,Institution,Child Care Center Age Range,0 to 1 Year,No,A code-based attribute representing the Child Care Center Ages Served numeric attribute in ranges.,A Child Care Center that provides care for children from birth through age 1.
63,Child Care Centers,Institution,Child Care Center Age Range,2 to 4 Years,No,A code-based attribute representing the Child Care Center Ages Served numeric attribute in ranges.,A Child Care Center that provides care for children that are 2 to 4 years old.
63,Child Care Centers,Institution,Child Care Center Age Range,5+ Years,No,A code-based attribute representing the Child Care Center Ages Served numeric attribute in ranges.,A Child Care Center that provides care for children age 5 years and older.
63,Child Care Centers,Institution,Child Care Center Ages Served,Child Care Center Ages Served,No,A numeric range indicating the lowest age and highest age of children for which the institution typically provides child care or preschool services.,A numeric range indicating the lowest age and highest age of children for which the institution typically provides child care or preschool services.
63,Child Care Centers,Institution,Child Care Center Existence of Age Served,A - Infant,Yes,A code-base value indicating that the institution typically provides child care or preschool programs for children of a specifc age.,Typically provides services for children less than one year old.
63,Child Care Centers,Institution,Child Care Center Existence of Age Served,B - 1 Year Olds,Yes,A code-base value indicating that the institution typically provides child care or preschool programs for children of a specifc age.,Typically provides services for one-year-old children.
63,Child Care Centers,Institution,Child Care Center Existence of Age Served,C - 2 Year Olds,Yes,A code-base value indicating that the institution typically provides child care or preschool programs for children of a specifc age.,Typically provides services for two-year-olds.
63,Child Care Centers,Institution,Child Care Center Existence of Age Served,D - 3 Year Olds,Yes,A code-base value indicating that the institution typically provides child care or preschool programs for children of a specifc age.,Typically provides services for three-year-olds.
63,Child Care Centers,Institution,Child Care Center Existence of Age Served,E - 4 Year Olds,Yes,A code-base value indicating that the institution typically provides child care or preschool programs for children of a specifc age.,Typically provides services for four-year-olds.
63,Child Care Centers,Institution,Child Care Center Existence of Age Served,F - 5 Year Olds,Yes,A code-base value indicating that the institution typically provides child care or preschool programs for children of a specifc age.,Typically provides services for five-year-olds.
63,Child Care Centers,Institution,Child Care Center Existence of Age Served,G - 6 Year Olds,Yes,A code-base value indicating that the institution typically provides child care or preschool programs for children of a specifc age.,Typically provides services for six-year-olds.
63,Child Care Centers,Institution,Child Care Center Existence of Age Served,H - 7 Year Olds,Yes,A code-base value indicating that the institution typically provides child care or preschool programs for children of a specifc age.,Typically provides services for seven-year-olds.
63,Child Care Centers,Institution,Child Care Center Existence of Age Served,I - 8 Year Olds,Yes,A code-base value indicating that the institution typically provides child care or preschool programs for children of a specifc age.,Typically provides services for eight-year-olds.
63,Child Care Centers,Institution,Child Care Center Existence of Age Served,J - 9 Year Olds,Yes,A code-base value indicating that the institution typically provides child care or preschool programs for children of a specifc age.,Typically provides services for nine-year-olds.
63,Child Care Centers,Institution,Child Care Center Existence of Age Served,K - 10 Year Olds,Yes,A code-base value indicating that the institution typically provides child care or preschool programs for children of a specifc age.,Typically provides services for ten-year-olds.
63,Child Care Centers,Institution,Child Care Center Existence of Age Served,L - 11 Year Olds,Yes,A code-base value indicating that the institution typically provides child care or preschool programs for children of a specifc age.,Typically provides services for eleven-year-olds.
63,Child Care Centers,Institution,Child Care Center Existence of Age Served,M - 12 Year Olds,Yes,A code-base value indicating that the institution typically provides child care or preschool programs for children of a specifc age.,Typically provides services for twelve-year-olds.
63,Child Care Centers,Institution,Child Care Center Existence of Age Served,N - 13 Year Olds,Yes,A code-base value indicating that the institution typically provides child care or preschool programs for children of a specifc age.,Typically provides services for 13-year-olds.
63,Child Care Centers,Institution,Child Care Center Existence of Age Served,O - 14 Year Olds,Yes,A code-base value indicating that the institution typically provides child care or preschool programs for children of a specifc age.,Typically provides services for 14-year-olds; most commonly in special needs centers.
63,Child Care Centers,Institution,Child Care Center Existence of Age Served,P - 15 Year Olds,Yes,A code-base value indicating that the institution typically provides child care or preschool programs for children of a specifc age.,Typically provides services for 15-year-olds; most commonly in special needs centers.
63,Child Care Centers,Institution,Child Care Center Existence of Age Served,Q - 16 Year Olds,Yes,A code-base value indicating that the institution typically provides child care or preschool programs for children of a specifc age.,Typically provides services for 16-year-olds; most commonly in special needs centers.
63,Child Care Centers,Institution,Child Care Center Existence of Age Served,R - 17 Year Olds,Yes,A code-base value indicating that the institution typically provides child care or preschool programs for children of a specifc age.,Typically provides services for 17-year-olds; most commonly in special needs centers.
63,Child Care Centers,Institution,Child Care Center Existence of Age Served,S - 18 Year Olds,Yes,A code-base value indicating that the institution typically provides child care or preschool programs for children of a specifc age.,Typically provides services for 18-year-olds; most commonly in special needs centers.
63,Child Care Centers,Institution,Child Care Center Existence of Age Served,T - 19 Year Olds,Yes,A code-base value indicating that the institution typically provides child care or preschool programs for children of a specifc age.,Typically provides services for 19-year-olds; most commonly in special needs centers.
63,Child Care Centers,Institution,Child Care Center Existence of Age Served,U - 20 Year Olds,Yes,A code-base value indicating that the institution typically provides child care or preschool programs for children of a specifc age.,Typically provides services for 20-year-olds; most commonly in special needs centers.
63,Child Care Centers,Institution,Child Care Center Funding,Head Start Funding,No,Indicates that the center receives at least partial funding from a particular source.,A Child Care Center or program that is funded at least in part by federal Head Start grants.
63,Child Care Centers,Institution,Child Care Center Funding,State Public Funding,No,Indicates that the center receives at least partial funding from a particular source.,A Child Care Center or program that is funded at least in part by public funding from a state government organization.
63,Child Care Centers,Institution,Child Care Center Locations,Career and Technical School Based,Yes,Indicates the location of the institution.,A Child Care Center located at a Vocational School.
63,Child Care Centers,Institution,Child Care Center Locations,Church Based,Yes,Indicates the location of the institution.,A Child Care Center located at a Church.
63,Child Care Centers,Institution,Child Care Center Locations,College Based,Yes,Indicates the location of the institution.,A Child Care Center located at a College.
63,Child Care Centers,Institution,Child Care Center Locations,Community Center,Yes,Indicates the location of the institution.,A Child Care Center located at a Community Center.
63,Child Care Centers,Institution,Child Care Center Locations,Employer Based,Yes,Indicates the location of the institution.,A Child Care Center located at a Employer Sponsored Center.
63,Child Care Centers,Institution,Child Care Center Locations,Health Club Based,Yes,Indicates the location of the institution.,A Child Care Center located at a Health Club.
63,Child Care Centers,Institution,Child Care Center Locations,Home Based,Yes,Indicates the location of the institution.,A Child Care Center located in a home.
63,Child Care Centers,Institution,Child Care Center Locations,Hospital Based,Yes,Indicates the location of the institution.,A Child Care Center located at a Hospital.
63,Child Care Centers,Institution,Child Care Center Locations,Housing Project/Homeless Shelter,Yes,Indicates the location of the institution.,A Child Care Center located at a Housing Project/Homeless Program.
63,Child Care Centers,Institution,Child Care Center Locations,Military Based,Yes,Indicates the location of the institution.,A Child Care Center located at a Military Base.
63,Child Care Centers,Institution,Child Care Center Locations,Nursing Home Based,Yes,Indicates the location of the institution.,A Child Care Center located at a Nursing Home.
63,Child Care Centers,Institution,Child Care Center Locations,Other,Yes,Indicates the location of the institution.,A Child Care Center in an unspecified location.
63,Child Care Centers,Institution,Child Care Center Locations,Park/Recreation Center Based,Yes,Indicates the location of the institution.,A Child Care Center located at a Park/Recreation Center.
63,Child Care Centers,Institution,Child Care Center Locations,School Based,Yes,Indicates the location of the institution.,A Child Care Center located in a School and is not operated by a district or school.
63,Child Care Centers,Institution,Child Care Center Locations,YMCA/YWCA Based,Yes,Indicates the location of the institution.,A Child Care Center located at a YMCA or YWCA.
63,Child Care Centers,Institution,Child Care Center Schedule,School Year Only,No,Indicates the period of the year during which the program operates.,A child care center that operates during the school year only.
63,Child Care Centers,Institution,Child Care Center Schedule,Summer Only,No,Indicates the period of the year during which the program operates.,A child care center that operates during the summer only.
63,Child Care Centers,Institution,Child Care Center Schedule,Year Round,No,Indicates the period of the year during which the program operates.,A child care center that operates year around.
63,Child Care Centers,Institution,Child Care Center Services Offered,Before/After School Services/Program,Yes,"Services or programs provided by the center, regardless of the center's specialty. See Child Care Center Specialty for additional options.","Provides before and/or after school programs for school-age children. For complete coverage, also include schools with before/after school programs from the School (1) file."
63,Child Care Centers,Institution,Child Care Center Services Offered,Bilingual Program,Yes,"Services or programs provided by the center, regardless of the center's specialty. See Child Care Center Specialty for additional options.",Provides programs in more than one language.
63,Child Care Centers,Institution,Child Care Center Services Offered,Infant/Toddler Care,Yes,"Services or programs provided by the center, regardless of the center's specialty. See Child Care Center Specialty for additional options.",Provides custodial care for childen younger than two years of age.
63,Child Care Centers,Institution,Child Care Center Services Offered,Special Needs Care,Yes,"Services or programs provided by the center, regardless of the center's specialty. See Child Care Center Specialty for additional options.",Provides specialized care for children with disabilities or other specialized needs.
63,Child Care Centers,Institution,Child Care Center Specialty,Child Care for Deaf Children,Yes,The type of specialization for centers that are focused on providing a specific service.,A center that specializes in child care for children with hearing impairments.
63,Child Care Centers,Institution,Child Care Center Specialty,Migrant Program,Yes,The type of specialization for centers that are focused on providing a specific service.,A center that specializes in providing child care or preschool curriculum for children of migrant families.
63,Child Care Centers,Institution,Child Care Center Specialty,Montessori Center,Yes,The type of specialization for centers that are focused on providing a specific service.,A center that operates using the principles of Montessori educational programs.
63,Child Care Centers,Institution,Child Care Center Specialty,Native American Center,Yes,The type of specialization for centers that are focused on providing a specific service.,A center that specializes in providing child care or preschool curriculum for children of Native American families.
63,Child Care Centers,Institution,Child Care Center Specialty,Special Needs Center,Yes,The type of specialization for centers that are focused on providing a specific service.,"A center that specializes in providing child care or preschool curriculum for children with special needs, typically those with severe disabilities. For complete coverage also include schools for students with special needs from the School (1) file."
63,Child Care Centers,Institution,Child Care Center Specialty,Summer Day Camp,Yes,The type of specialization for centers that are focused on providing a specific service.,A camp for school-aged children sponsored by a licensed child care center during summer. They may offer enrichment programs for the children.
63,Child Care Centers,Institution,Child Care Center Specialty,Waldorf Center,Yes,The type of specialization for centers that are focused on providing a specific service.,A center that operates using the principles of Waldorf educational programs.
63,Child Care Centers,Institution,Child Care Center Type of Institution,Before/After School Center,Yes,Identifies the type of Institution,A center that specializes in before and/or after school child care programs. For complete coverage also include schools with before and after school programs from the School (1) file.
63,Child Care Centers,Institution,Child Care Center Type of Institution,Before/After School HQ Office,Yes,Identifies the type of Institution,A central or regional office responsible for the operation of before and/or after school child care programs.
63,Child Care Centers,Institution,Child Care Center Type of Institution,Child Care Chain Center,Yes,Identifies the type of Institution,A child care center affiliated with a Child Care Chain.
63,Child Care Centers,Institution,Child Care Center Type of Institution,Child Care Chain HQ Office,Yes,Identifies the type of Institution,A central or regional office of an organization that operates or franchises a chain of child care centers.
63,Child Care Centers,Institution,Child Care Center Type of Institution,Child Care Chain Regional Office,Yes,Identifies the type of Institution,A regional office of an organization that operates a child care center.
63,Child Care Centers,Institution,Child Care Center Type of Institution,Early Head Start Center,Yes,Identifies the type of Institution,A federally-funded center that provides early childhood programs for infants and toddlers three years of age or younger from low-income families.
63,Child Care Centers,Institution,Child Care Center Type of Institution,Head Start Center,Yes,Identifies the type of Institution,A federally-funded center that provides preschool programs targeted to 4-year-old and 5-year-old children from low-income families.
63,Child Care Centers,Institution,Child Care Center Type of Institution,Head Start HQ Office,Yes,Identifies the type of Institution,A central or regional office that oversees the operation of Head Start Centers.
63,Child Care Centers,Institution,Child Care Center Type of Institution,Head Start Regional Office,Yes,Identifies the type of Institution,A regional office of Head Start responsible for Head Start programs in a specific geographic region.
63,Child Care Centers,Institution,Child Care Center Type of Institution,Independent Center,Yes,Identifies the type of Institution,A center not affiliated with a chain.
63,Child Care Centers,Institution,Child Care Center Type of Institution,YMCA/YWCA Branch Office,Yes,Identifies the type of Institution,A YMCA/YWCA branch office that operates one or more child care centers and reports to a headquarters office.
63,Child Care Centers,Institution,Child Care Center Type of Institution,YMCA/YWCA Center,Yes,Identifies the type of Institution,A center that is affiliated with a YMCA or YWCA.
63,Child Care Centers,Institution,Child Care Center Type of Institution,YMCA/YWCA HQ Office,Yes,Identifies the type of Institution,A central or regional YMCA/YWCA office that oversees the operation of child care centers.
63,Child Care Centers,Institution,Child Care Chains,Alphabest Education Inc - After School Program,No,A Child Care Center owned by a private company with two or more facilities. MCH creates new Child Care Chain values only for chains with 40 or more centers.,A Child Care Center affiliated with the Alphabest Education Inc. after school program.
63,Child Care Centers,Institution,Child Care Chains,Bright Horizons Child Care,No,A Child Care Center owned by a private company with two or more facilities. MCH creates new Child Care Chain values only for chains with 40 or more centers.,A Child Care Center affiliated with the Bright Horizons Child Care company.
63,Child Care Centers,Institution,Child Care Chains,Brightside Academy,No,A Child Care Center owned by a private company with two or more facilities. MCH creates new Child Care Chain values only for chains with 40 or more centers.,A Child Care Center affiliated with the Brightside Academy company.
63,Child Care Centers,Institution,Child Care Chains,Cadence Education Inc,No,A Child Care Center owned by a private company with two or more facilities. MCH creates new Child Care Chain values only for chains with 40 or more centers.,A Child Care Center affiliated with the Cadence Education Inc company.
63,Child Care Centers,Institution,Child Care Chains,Catalyst Kids,No,A Child Care Center owned by a private company with two or more facilities. MCH creates new Child Care Chain values only for chains with 40 or more centers.,A Child Care Center affiliated with the Child Development Centers company.
63,Child Care Centers,Institution,Child Care Chains,Champions,No,A Child Care Center owned by a private company with two or more facilities. MCH creates new Child Care Chain values only for chains with 40 or more centers.,A Child Care Center affiliated with the Champions company.
63,Child Care Centers,Institution,Child Care Chains,Child Care Network,No,A Child Care Center owned by a private company with two or more facilities. MCH creates new Child Care Chain values only for chains with 40 or more centers.,A Child Care Center affiliated with the Child Care Network company.
63,Child Care Centers,Institution,Child Care Chains,Children of America,No,A Child Care Center owned by a private company with two or more facilities. MCH creates new Child Care Chain values only for chains with 40 or more centers.,A Child Care Center affiliated with the Children of America company.
63,Child Care Centers,Institution,Child Care Chains,Childtime Learning Centers,No,A Child Care Center owned by a private company with two or more facilities. MCH creates new Child Care Chain values only for chains with 40 or more centers.,A Child Care Center affiliated with the Childtime Learning Centers company.
63,Child Care Centers,Institution,Child Care Chains,Clayton Youth Enrichment Services,No,A Child Care Center owned by a private company with two or more facilities. MCH creates new Child Care Chain values only for chains with 40 or more centers.,A Child Care Center affiliated with the Clayton Youth Enrichment Services chain.
63,Child Care Centers,Institution,Child Care Chains,Discovery Point,No,A Child Care Center owned by a private company with two or more facilities. MCH creates new Child Care Chain values only for chains with 40 or more centers.,A Child Care Center affiliated with the Discovery Point company.
63,Child Care Centers,Institution,Child Care Chains,Gingerbread House,No,A Child Care Center owned by a private company with two or more facilities. MCH creates new Child Care Chain values only for chains with 40 or more centers.,A Child Care Center affiliated with the Gingerbread House company.
63,Child Care Centers,Institution,Child Care Chains,Girls Inc of New York City,No,A Child Care Center owned by a private company with two or more facilities. MCH creates new Child Care Chain values only for chains with 40 or more centers.,A Child Care Center affiliated with the Girls Inc of New York City.
63,Child Care Centers,Institution,Child Care Chains,Goddard,No,A Child Care Center owned by a private company with two or more facilities. MCH creates new Child Care Chain values only for chains with 40 or more centers.,A Child Care Center affiliated with the Goddard company.
63,Child Care Centers,Institution,Child Care Chains,Innovation Learning,No,A Child Care Center owned by a private company with two or more facilities. MCH creates new Child Care Chain values only for chains with 40 or more centers.,A Child Care Center affiliated with the Innovation Learning company.
63,Child Care Centers,Institution,Child Care Chains,Kiddie Academy,No,A Child Care Center owned by a private company with two or more facilities. MCH creates new Child Care Chain values only for chains with 40 or more centers.,A Child Care Center affiliated with the Kiddie Academy company.
63,Child Care Centers,Institution,Child Care Chains,Kids R Kids,No,A Child Care Center owned by a private company with two or more facilities. MCH creates new Child Care Chain values only for chains with 40 or more centers.,A Child Care Center affiliated with the Kids R Kids Learning company.
63,Child Care Centers,Institution,Child Care Chains,Kindercare,No,A Child Care Center owned by a private company with two or more facilities. MCH creates new Child Care Chain values only for chains with 40 or more centers.,A Child Care Center affiliated with the Kindercare company.
63,Child Care Centers,Institution,Child Care Chains,La Petite,No,A Child Care Center owned by a private company with two or more facilities. MCH creates new Child Care Chain values only for chains with 40 or more centers.,A Child Care Center affiliated with the La Petite company.
63,Child Care Centers,Institution,Child Care Chains,Local Investment Commission,No,A Child Care Center owned by a private company with two or more facilities. MCH creates new Child Care Chain values only for chains with 40 or more centers.,A Child Care Center affiliated with the Local Investment Commission.
63,Child Care Centers,Institution,Child Care Chains,Minnieland Private Day School,No,A Child Care Center owned by a private company with two or more facilities. MCH creates new Child Care Chain values only for chains with 40 or more centers.,A Child Care Center affiliated with the Minnieland Private Day School.
63,Child Care Centers,Institution,Child Care Chains,New Horizons Academy,No,A Child Care Center owned by a private company with two or more facilities. MCH creates new Child Care Chain values only for chains with 40 or more centers.,A Child Care Center affiliated with the New Horizon Child Care company.
63,Child Care Centers,Institution,Child Care Chains,Nobel Learning Centers,No,A Child Care Center owned by a private company with two or more facilities. MCH creates new Child Care Chain values only for chains with 40 or more centers.,A Child Care Center affiliated with the Nobel Learning Centers company.
